Date retreived,Hansard document url,wā,title,Te Reo length,total length,is Māori (%),awaiting authorised reo
2017-12-14 18:05:44.463782,/en/pb/hansard-debates/rhr/document/47HansD_20030617/volume-609-week-27-tuesday-17-june-2003,17-Jun-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 17 June 2003  ",2864,30353,0.09435640628603433,
2017-12-14 18:05:45.860214,/en/pb/hansard-debates/rhr/document/47HansD_20030618/volume-609-week-27-wednesday-18-june-2003,18-Jun-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 18 June 2003  ",3373,36238,0.09307908824990342,
2017-12-14 18:05:47.163321,/en/pb/hansard-debates/rhr/document/47HansD_20030619/volume-609-week-27-thursday-19-june-2003,19-Jun-2003  ,"Parliamentary Debates (Hansard) for Thursday, 19 June 2003  ",2046,22034,0.09285649450848689,
2017-12-14 18:05:48.344811,/en/pb/hansard-debates/rhr/document/47HansD_20030624/volume-609-week-28-tuesday-24-june-2003,24-Jun-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 24 June 2003  ",2790,32379,0.0861669600667099,
2017-12-14 18:05:49.623000,/en/pb/hansard-debates/rhr/document/47HansD_20030625/volume-609-week-28-wednesday-25-june-2003,25-Jun-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 25 June 2003  ",3201,34945,0.09160108742309343,
2017-12-14 18:05:50.987151,/en/pb/hansard-debates/rhr/document/47HansD_20030626/volume-609-week-28-thursday-26-june-2003,26-Jun-2003  ,"Parliamentary Debates (Hansard) for Thursday, 26 June 2003  ",1863,21581,0.08632593485009962,
2017-12-14 18:05:52.418517,/en/pb/hansard-debates/rhr/document/47HansD_20030701/volume-609-week-29-tuesday-1-july-2003,01-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 July 2003  ",3228,35785,0.09020539332122397,
2017-12-14 18:05:54.140147,/en/pb/hansard-debates/rhr/document/47HansD_20030702/volume-609-week-29-tuesday-1-july-2003-continued-on,01-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 July 2003(continued on Wednesday, 2 July 2003)  ",5388,63747,0.0845216245470375,
2017-12-14 18:05:56.071377,/en/pb/hansard-debates/rhr/document/47HansD_20030703/volume-609-week-29-tuesday-1-july-2003-continued-on,01-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 July 2003(continued on Thursday, 3 July 2003)  ",5138,63384,0.08106146661618074,
2017-12-14 18:05:57.888754,/en/pb/hansard-debates/rhr/document/47HansD_20030704/volume-609-week-29-tuesday-1-july-2003-continued-on,01-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 July 2003(continued on Friday, 4 July 2003)  ",2013,23638,0.08515948895845672,
2017-12-14 18:05:59.109063,/en/pb/hansard-debates/rhr/document/47HansD_20030722/volume-610-week-30-tuesday-22-july-2003,22-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 22 July 2003  ",3024,33719,0.08968237492215071,
2017-12-14 18:06:00.404921,/en/pb/hansard-debates/rhr/document/47HansD_20030723/volume-610-week-30-wednesday-23-july-2003,23-Jul-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 23 July 2003  ",3193,33187,0.09621237231446048,
2017-12-14 18:06:01.725045,/en/pb/hansard-debates/rhr/document/47HansD_20030724/volume-610-week-30-thursday-24-july-2003,24-Jul-2003  ,"Parliamentary Debates (Hansard) for Thursday, 24 July 2003  ",1791,20939,0.08553417068627919,
2017-12-14 18:06:02.853984,/en/pb/hansard-debates/rhr/document/47HansD_20030729/volume-610-week-31-tuesday-29-july-2003,29-Jul-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 29 July 2003  ",2913,34696,0.08395780493428637,
2017-12-14 18:06:04.268406,/en/pb/hansard-debates/rhr/document/47HansD_20030730/volume-610-week-31-wednesday-30-july-2003,30-Jul-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 30 July 2003  ",3247,34654,0.09369769723552837,
2017-12-14 18:06:05.481925,/en/pb/hansard-debates/rhr/document/47HansD_20030731/volume-610-week-31-thursday-31-july-2003,31-Jul-2003  ,"Parliamentary Debates (Hansard) for Thursday, 31 July 2003  ",1574,19661,0.08005696556634963,
2017-12-14 18:06:06.673862,/en/pb/hansard-debates/rhr/document/47HansD_20030805/volume-610-week-32-tuesday-5-august-2003,05-Aug-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 5 August 2003  ",2790,33937,0.08221115596546542,
2017-12-14 18:06:08.428999,/en/pb/hansard-debates/rhr/document/47HansD_20030806/volume-610-week-32-wednesday-6-august-2003,06-Aug-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 6 August 2003  ",3426,37281,0.09189667659129315,
2017-12-14 18:06:10.053505,/en/pb/hansard-debates/rhr/document/47HansD_20030807/volume-610-week-32-wednesday-6-august-2003-continued,06-Aug-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 6 August 2003(continued on Thursday, 7 August 2003)  ",3720,40721,0.09135335576238304,
2017-12-14 18:06:11.526702,/en/pb/hansard-debates/rhr/document/47HansD_20030812/volume-610-week-33-tuesday-12-august-2003,12-Aug-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 12 August 2003  ",2815,32026,0.08789733341659901,
2017-12-14 18:06:12.895967,/en/pb/hansard-debates/rhr/document/47HansD_20030813/volume-610-week-33-wednesday-13-august-2003,13-Aug-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 13 August 2003  ",3366,37020,0.09092382495948136,
2017-12-14 18:06:14.216054,/en/pb/hansard-debates/rhr/document/47HansD_20030814/volume-610-week-33-thursday-14-august-2003,14-Aug-2003  ,"Parliamentary Debates (Hansard) for Thursday, 14 August 2003  ",1493,18591,0.08030767575708676,
2017-12-14 18:06:15.483491,/en/pb/hansard-debates/rhr/document/47HansD_20030826/volume-611-week-34-tuesday-26-august-2003,26-Aug-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 26 August 2003  ",2857,31121,0.09180296262973554,
2017-12-14 18:06:17.275654,/en/pb/hansard-debates/rhr/document/47HansD_20030827/volume-611-week-34-wednesday-27-august-2003,27-Aug-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 27 August 2003  ",2811,30712,0.09152774159937484,
2017-12-14 18:06:18.496324,/en/pb/hansard-debates/rhr/document/47HansD_20030828/volume-611-week-34-thursday-28-august-2003,28-Aug-2003  ,"Parliamentary Debates (Hansard) for Thursday, 28 August 2003  ",1739,19122,0.09094237004497438,
2017-12-14 18:06:19.774240,/en/pb/hansard-debates/rhr/document/47HansD_20030902/volume-611-week-35-tuesday-2-september-2003,02-Sep-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 2 September 2003  ",2922,33103,0.08826994532217623,
2017-12-14 18:06:21.105972,/en/pb/hansard-debates/rhr/document/47HansD_20030903/volume-611-week-35-wednesday-3-september-2003,03-Sep-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 3 September 2003  ",2637,29965,0.08800266978141165,
2017-12-14 18:06:22.277980,/en/pb/hansard-debates/rhr/document/47HansD_20030904/volume-611-week-35-thursday-4-september-2003,04-Sep-2003  ,"Parliamentary Debates (Hansard) for Thursday, 4 September 2003  ",1872,21610,0.08662656177695512,
